numer,denom,Õ·×ªÏà³ý·¨
2,2,0.00000000074999240138
2,3,0.00000000103893684230
2,5,0.00000000103498951388
2,7,0.00000000103577897961
2,11,0.00000000091893805809
2,13,0.00000000092525378356
2,17,0.00000000091893805815
2,19,0.00000000091578019541
2,23,0.00000000092051698950
2,29,0.00000000092604324928
2,31,0.00000000093078004338
2,37,0.00000000093078004338
2,41,0.00000000093472737184
2,43,0.00000000099077943548
2,47,0.00000000093314844042
2,53,0.00000000092920111199
2,59,0.00000000092525378355
2,61,0.00000000092288538653
2,67,0.00000000092525378361
2,71,0.00000000092920111203
2,73,0.00000000083999148953
2,79,0.00000000084472828365
2,83,0.00000000084314935231
2,89,0.00000000085183347477
2,97,0.00000000084314935231
2,101,0.00000000084472828364
2,103,0.00000000083920202384
2,107,0.00000000083920202388
2,109,0.00000000083604416113
2,113,0.00000000083920202385
2,127,0.00000000084078095520
2,131,0.00000000083762309248
2,137,0.00000000083762309245
2,139,0.00000000084078095522
2,149,0.00000000084946507776
2,151,0.00000000084946507775
2,157,0.00000000085025454344
2,163,0.00000000084867561204
2,167,0.00000000084867561208
2,173,0.00000000084314935228
2,179,0.00000000084393881795
2,181,0.00000000084235988661
2,191,0.00000000085578080327
2,193,0.00000000087314904832
2,197,0.00000000084078095520
2,199,0.00000000083920202390
2,211,0.00000000083525469543
2,223,0.00000000083920202385
2,227,0.00000000083999148956
2,229,0.00000000084472828366
2,233,0.00000000078788675431
2,239,0.00000000078867621994
2,241,0.00000000078236049450
2,251,0.00000000078472889159
2,257,0.00000000079104461705
2,263,0.00000000078946568566
2,269,0.00000000078867621997
2,271,0.00000000079578141114
2,277,0.00000000079814980820
2,281,0.00000000079972873955
2,283,0.00000000079420247974
2,293,0.00000000079420247976
2,307,0.00000000079262354843
2,311,0.00000000079420247980
2,313,0.00000000078946568564
2,317,0.00000000079736034251
2,331,0.00000000079657087680
2,337,0.00000000079025515139
2,347,0.00000000079025515133
2,349,0.00000000079025515137
2,353,0.00000000078472889153
2,359,0.00000000078630782293
2,367,0.00000000078393942589
2,373,0.00000000078393942584
2,379,0.00000000078472889153
2,383,0.00000000078472889156
2,389,0.00000000078472889152
2,397,0.00000000078867621996
2,401,0.00000000078630782290
2,409,0.00000000078867621999
2,419,0.00000000079499194547
2,421,0.00000000078946568569
2,431,0.00000000078709728865
2,433,0.00000000078788675430
2,439,0.00000000078709728862
2,443,0.00000000078630782289
2,449,0.00000000078630782286
2,457,0.00000000079025515136
2,461,0.00000000078946568570
2,463,0.00000000079814980818
2,467,0.00000000078788675430
2,479,0.00000000078946568564
2,487,0.00000000078946568566
2,491,0.00000000078946568566
2,499,0.00000000078946568565
2,503,0.00000000079183408270
2,509,0.00000000079183408272
2,521,0.00000000077762370039
2,523,0.00000000077999209741
2,541,0.00000000077762370035
